"recorte","agente","inicio_semana","ano_epi","semana_epi","casos"
"Estado do Rio de Janeiro","sarscov2",2022-01-02,2022,1,839
"Estado do Rio de Janeiro","sarscov2",2022-01-09,2022,2,2015
"Estado do Rio de Janeiro","sarscov2",2022-01-16,2022,3,2265
"Estado do Rio de Janeiro","sarscov2",2022-01-23,2022,4,1666
"Estado do Rio de Janeiro","sarscov2",2022-01-30,2022,5,873
"Estado do Rio de Janeiro","sarscov2",2022-02-06,2022,6,362
"Estado do Rio de Janeiro","sarscov2",2022-02-13,2022,7,212
"Estado do Rio de Janeiro","sarscov2",2022-02-20,2022,8,118
"Estado do Rio de Janeiro","sarscov2",2022-02-27,2022,9,72
"Estado do Rio de Janeiro","sarscov2",2022-03-06,2022,10,64
"Estado do Rio de Janeiro","sarscov2",2022-03-13,2022,11,30
"Estado do Rio de Janeiro","sarscov2",2022-03-20,2022,12,33
"Estado do Rio de Janeiro","sarscov2",2022-03-27,2022,13,46
"Estado do Rio de Janeiro","sarscov2",2022-04-03,2022,14,34
"Estado do Rio de Janeiro","sarscov2",2022-04-10,2022,15,31
"Estado do Rio de Janeiro","sarscov2",2022-04-17,2022,16,34
"Estado do Rio de Janeiro","sarscov2",2022-04-24,2022,17,51
"Estado do Rio de Janeiro","sarscov2",2022-05-01,2022,18,60
"Estado do Rio de Janeiro","sarscov2",2022-05-08,2022,19,80
"Estado do Rio de Janeiro","sarscov2",2022-05-15,2022,20,153
"Estado do Rio de Janeiro","sarscov2",2022-05-22,2022,21,274
"Estado do Rio de Janeiro","sarscov2",2022-05-29,2022,22,448
"Estado do Rio de Janeiro","sarscov2",2022-06-05,2022,23,600
"Estado do Rio de Janeiro","sarscov2",2022-06-12,2022,24,664
"Estado do Rio de Janeiro","sarscov2",2022-06-19,2022,25,767
"Estado do Rio de Janeiro","sarscov2",2022-06-26,2022,26,642
"Estado do Rio de Janeiro","sarscov2",2022-07-03,2022,27,397
"Estado do Rio de Janeiro","sarscov2",2022-07-10,2022,28,265
"Estado do Rio de Janeiro","sarscov2",2022-07-17,2022,29,169
"Estado do Rio de Janeiro","sarscov2",2022-07-24,2022,30,93
"Estado do Rio de Janeiro","sarscov2",2022-07-31,2022,31,73
"Estado do Rio de Janeiro","sarscov2",2022-08-07,2022,32,50
"Estado do Rio de Janeiro","sarscov2",2022-08-14,2022,33,45
"Estado do Rio de Janeiro","sarscov2",2022-08-21,2022,34,38
"Estado do Rio de Janeiro","sarscov2",2022-08-28,2022,35,35
"Estado do Rio de Janeiro","sarscov2",2022-09-04,2022,36,21
"Estado do Rio de Janeiro","sarscov2",2022-09-11,2022,37,18
"Estado do Rio de Janeiro","sarscov2",2022-09-18,2022,38,20
"Estado do Rio de Janeiro","sarscov2",2022-09-25,2022,39,17
"Estado do Rio de Janeiro","sarscov2",2022-10-02,2022,40,22
"Estado do Rio de Janeiro","sarscov2",2022-10-09,2022,41,39
"Estado do Rio de Janeiro","sarscov2",2022-10-16,2022,42,47
"Estado do Rio de Janeiro","sarscov2",2022-10-23,2022,43,91
"Estado do Rio de Janeiro","sarscov2",2022-10-30,2022,44,210
"Estado do Rio de Janeiro","sarscov2",2022-11-06,2022,45,457
"Estado do Rio de Janeiro","sarscov2",2022-11-13,2022,46,596
"Estado do Rio de Janeiro","sarscov2",2022-11-20,2022,47,458
"Estado do Rio de Janeiro","sarscov2",2022-11-27,2022,48,361
"Estado do Rio de Janeiro","sarscov2",2022-12-04,2022,49,293
"Estado do Rio de Janeiro","sarscov2",2022-12-11,2022,50,157
"Estado do Rio de Janeiro","sarscov2",2022-12-18,2022,51,132
"Estado do Rio de Janeiro","sarscov2",2022-12-25,2022,52,121
"Estado do Rio de Janeiro","sarscov2",2023-01-01,2023,1,83
"Estado do Rio de Janeiro","sarscov2",2023-01-08,2023,2,55
"Estado do Rio de Janeiro","sarscov2",2023-01-15,2023,3,55
"Estado do Rio de Janeiro","sarscov2",2023-01-22,2023,4,39
"Estado do Rio de Janeiro","sarscov2",2023-01-29,2023,5,60
"Estado do Rio de Janeiro","sarscov2",2023-02-05,2023,6,72
"Estado do Rio de Janeiro","sarscov2",2023-02-12,2023,7,80
"Estado do Rio de Janeiro","sarscov2",2023-02-19,2023,8,139
"Estado do Rio de Janeiro","sarscov2",2023-02-26,2023,9,204
"Estado do Rio de Janeiro","sarscov2",2023-03-05,2023,10,187
"Estado do Rio de Janeiro","sarscov2",2023-03-12,2023,11,189
"Estado do Rio de Janeiro","sarscov2",2023-03-19,2023,12,137
"Estado do Rio de Janeiro","sarscov2",2023-03-26,2023,13,116
"Estado do Rio de Janeiro","sarscov2",2023-04-02,2023,14,94
"Estado do Rio de Janeiro","sarscov2",2023-04-09,2023,15,113
"Estado do Rio de Janeiro","sarscov2",2023-04-16,2023,16,79
"Estado do Rio de Janeiro","sarscov2",2023-04-23,2023,17,60
"Estado do Rio de Janeiro","sarscov2",2023-04-30,2023,18,51
"Estado do Rio de Janeiro","sarscov2",2023-05-07,2023,19,46
"Estado do Rio de Janeiro","sarscov2",2023-05-14,2023,20,39
"Estado do Rio de Janeiro","sarscov2",2023-05-21,2023,21,35
"Estado do Rio de Janeiro","sarscov2",2023-05-28,2023,22,31
"Estado do Rio de Janeiro","sarscov2",2023-06-04,2023,23,26
"Estado do Rio de Janeiro","sarscov2",2023-06-11,2023,24,43
"Estado do Rio de Janeiro","sarscov2",2023-06-18,2023,25,26
"Estado do Rio de Janeiro","sarscov2",2023-06-25,2023,26,31
"Estado do Rio de Janeiro","sarscov2",2023-07-02,2023,27,28
"Estado do Rio de Janeiro","sarscov2",2023-07-09,2023,28,20
"Estado do Rio de Janeiro","sarscov2",2023-07-16,2023,29,20
"Estado do Rio de Janeiro","sarscov2",2023-07-23,2023,30,23
"Estado do Rio de Janeiro","sarscov2",2023-07-30,2023,31,29
"Estado do Rio de Janeiro","sarscov2",2023-08-06,2023,32,27
"Estado do Rio de Janeiro","sarscov2",2023-08-13,2023,33,41
"Estado do Rio de Janeiro","sarscov2",2023-08-20,2023,34,56
"Estado do Rio de Janeiro","sarscov2",2023-08-27,2023,35,87
"Estado do Rio de Janeiro","sarscov2",2023-09-03,2023,36,110
"Estado do Rio de Janeiro","sarscov2",2023-09-10,2023,37,126
"Estado do Rio de Janeiro","sarscov2",2023-09-17,2023,38,169
"Estado do Rio de Janeiro","sarscov2",2023-09-24,2023,39,147
"Estado do Rio de Janeiro","sarscov2",2023-10-01,2023,40,184
"Estado do Rio de Janeiro","sarscov2",2023-10-08,2023,41,154
"Estado do Rio de Janeiro","sarscov2",2023-10-15,2023,42,144
"Estado do Rio de Janeiro","sarscov2",2023-10-22,2023,43,116
"Estado do Rio de Janeiro","sarscov2",2023-10-29,2023,44,92
"Estado do Rio de Janeiro","sarscov2",2023-11-05,2023,45,123
"Estado do Rio de Janeiro","sarscov2",2023-11-12,2023,46,78
"Estado do Rio de Janeiro","sarscov2",2023-11-19,2023,47,47
"Estado do Rio de Janeiro","sarscov2",2023-11-26,2023,48,37
"Estado do Rio de Janeiro","sarscov2",2023-12-03,2023,49,28
"Estado do Rio de Janeiro","sarscov2",2023-12-10,2023,50,26
"Estado do Rio de Janeiro","sarscov2",2023-12-17,2023,51,28
"Estado do Rio de Janeiro","sarscov2",2023-12-24,2023,52,32
"Estado do Rio de Janeiro","sarscov2",2023-12-31,2024,1,33
"Estado do Rio de Janeiro","sarscov2",2024-01-07,2024,2,36
"Estado do Rio de Janeiro","sarscov2",2024-01-14,2024,3,51
"Estado do Rio de Janeiro","sarscov2",2024-01-21,2024,4,59
"Estado do Rio de Janeiro","sarscov2",2024-01-28,2024,5,100
"Estado do Rio de Janeiro","sarscov2",2024-02-04,2024,6,159
"Estado do Rio de Janeiro","sarscov2",2024-02-11,2024,7,173
"Estado do Rio de Janeiro","sarscov2",2024-02-18,2024,8,170
"Estado do Rio de Janeiro","sarscov2",2024-02-25,2024,9,139
"Estado do Rio de Janeiro","sarscov2",2024-03-03,2024,10,83
"Estado do Rio de Janeiro","sarscov2",2024-03-10,2024,11,52
"Estado do Rio de Janeiro","sarscov2",2024-03-17,2024,12,42
"Estado do Rio de Janeiro","sarscov2",2024-03-24,2024,13,21
"Estado do Rio de Janeiro","sarscov2",2024-03-31,2024,14,21
"Estado do Rio de Janeiro","sarscov2",2024-04-07,2024,15,13
"Estado do Rio de Janeiro","sarscov2",2024-04-14,2024,16,8
"Estado do Rio de Janeiro","sarscov2",2024-04-21,2024,17,7
"Estado do Rio de Janeiro","sarscov2",2024-04-28,2024,18,10
"Estado do Rio de Janeiro","sarscov2",2024-05-05,2024,19,4
"Estado do Rio de Janeiro","sarscov2",2024-05-12,2024,20,6
"Estado do Rio de Janeiro","sarscov2",2024-05-19,2024,21,2
"Estado do Rio de Janeiro","sarscov2",2024-05-26,2024,22,5
"Estado do Rio de Janeiro","sarscov2",2024-06-02,2024,23,3
"Estado do Rio de Janeiro","sarscov2",2024-06-09,2024,24,9
"Estado do Rio de Janeiro","sarscov2",2024-06-16,2024,25,3
"Estado do Rio de Janeiro","sarscov2",2024-06-23,2024,26,2
"Estado do Rio de Janeiro","sarscov2",2024-06-30,2024,27,8
"Estado do Rio de Janeiro","sarscov2",2024-07-07,2024,28,8
"Estado do Rio de Janeiro","sarscov2",2024-07-14,2024,29,7
"Estado do Rio de Janeiro","sarscov2",2024-07-21,2024,30,14
"Estado do Rio de Janeiro","sarscov2",2024-07-28,2024,31,10
"Estado do Rio de Janeiro","sarscov2",2024-08-04,2024,32,11
"Estado do Rio de Janeiro","sarscov2",2024-08-11,2024,33,32
"Estado do Rio de Janeiro","sarscov2",2024-08-18,2024,34,35
"Estado do Rio de Janeiro","sarscov2",2024-08-25,2024,35,40
"Estado do Rio de Janeiro","sarscov2",2024-09-01,2024,36,51
"Estado do Rio de Janeiro","sarscov2",2024-09-08,2024,37,36
"Estado do Rio de Janeiro","sarscov2",2024-09-15,2024,38,31
"Estado do Rio de Janeiro","sarscov2",2024-09-22,2024,39,38
"Estado do Rio de Janeiro","sarscov2",2024-09-29,2024,40,34
"Estado do Rio de Janeiro","sarscov2",2024-10-06,2024,41,29
"Estado do Rio de Janeiro","sarscov2",2024-10-13,2024,42,40
"Estado do Rio de Janeiro","sarscov2",2024-10-20,2024,43,42
"Estado do Rio de Janeiro","sarscov2",2024-10-27,2024,44,44
"Estado do Rio de Janeiro","sarscov2",2024-11-03,2024,45,66
"Estado do Rio de Janeiro","sarscov2",2024-11-10,2024,46,73
"Estado do Rio de Janeiro","sarscov2",2024-11-17,2024,47,88
"Estado do Rio de Janeiro","sarscov2",2024-11-24,2024,48,84
"Estado do Rio de Janeiro","sarscov2",2024-12-01,2024,49,69
"Estado do Rio de Janeiro","sarscov2",2024-12-08,2024,50,62
"Estado do Rio de Janeiro","sarscov2",2024-12-15,2024,51,65
"Estado do Rio de Janeiro","sarscov2",2024-12-22,2024,52,50
"Estado do Rio de Janeiro","sarscov2",2024-12-29,2025,1,44
"Estado do Rio de Janeiro","sarscov2",2025-01-05,2025,2,38
"Estado do Rio de Janeiro","sarscov2",2025-01-12,2025,3,24
"Estado do Rio de Janeiro","sarscov2",2025-01-19,2025,4,20
"Estado do Rio de Janeiro","sarscov2",2025-01-26,2025,5,11
"Estado do Rio de Janeiro","sarscov2",2025-02-02,2025,6,11
"Estado do Rio de Janeiro","sarscov2",2025-02-09,2025,7,13
"Estado do Rio de Janeiro","sarscov2",2025-02-16,2025,8,16
"Estado do Rio de Janeiro","sarscov2",2025-02-23,2025,9,11
"Estado do Rio de Janeiro","sarscov2",2025-03-02,2025,10,5
"Estado do Rio de Janeiro","sarscov2",2025-03-09,2025,11,9
"Estado do Rio de Janeiro","sarscov2",2025-03-16,2025,12,6
"Estado do Rio de Janeiro","sarscov2",2025-03-23,2025,13,0
"Estado do Rio de Janeiro","sarscov2",2025-03-30,2025,14,10
"Estado do Rio de Janeiro","sarscov2",2025-04-06,2025,15,9
"Estado do Rio de Janeiro","sarscov2",2025-04-13,2025,16,9
"Estado do Rio de Janeiro","sarscov2",2025-04-20,2025,17,7
"Estado do Rio de Janeiro","sarscov2",2025-04-27,2025,18,12
"Estado do Rio de Janeiro","sarscov2",2025-05-04,2025,19,7
"Estado do Rio de Janeiro","sarscov2",2025-05-11,2025,20,10
"Estado do Rio de Janeiro","sarscov2",2025-05-18,2025,21,8
"Estado do Rio de Janeiro","sarscov2",2025-05-25,2025,22,14
"Estado do Rio de Janeiro","sarscov2",2025-06-01,2025,23,27
"Estado do Rio de Janeiro","sarscov2",2025-06-08,2025,24,47
"Estado do Rio de Janeiro","sarscov2",2025-06-15,2025,25,41
"Estado do Rio de Janeiro","sarscov2",2025-06-22,2025,26,27
"Estado do Rio de Janeiro","sarscov2",2025-06-29,2025,27,17
"Estado do Rio de Janeiro","sarscov2",2025-07-06,2025,28,21
"Estado do Rio de Janeiro","sarscov2",2025-07-13,2025,29,35
"Estado do Rio de Janeiro","sarscov2",2025-07-20,2025,30,49
"Estado do Rio de Janeiro","sarscov2",2025-07-27,2025,31,37
"Estado do Rio de Janeiro","sarscov2",2025-08-03,2025,32,54
"Estado do Rio de Janeiro","sarscov2",2025-08-10,2025,33,71
"Estado do Rio de Janeiro","sarscov2",2025-08-17,2025,34,69
"Estado do Rio de Janeiro","sarscov2",2025-08-24,2025,35,37
"Estado do Rio de Janeiro","sarscov2",2025-08-31,2025,36,34
"Estado do Rio de Janeiro","sarscov2",2025-09-07,2025,37,28
"Estado do Rio de Janeiro","sarscov2",2025-09-14,2025,38,34
"Estado do Rio de Janeiro","sarscov2",2025-09-21,2025,39,31
"Estado do Rio de Janeiro","sarscov2",2025-09-28,2025,40,13
"Estado do Rio de Janeiro","sarscov2",2025-10-05,2025,41,19
"Estado do Rio de Janeiro","sarscov2",2025-10-12,2025,42,14
"Estado do Rio de Janeiro","sarscov2",2025-10-19,2025,43,8
"Estado do Rio de Janeiro","sarscov2",2025-10-26,2025,44,4
"Estado do Rio de Janeiro","sarscov2",2025-11-02,2025,45,8
"Estado do Rio de Janeiro","sarscov2",2025-11-09,2025,46,6
"Estado do Rio de Janeiro","sarscov2",2025-11-16,2025,47,12
"Estado do Rio de Janeiro","sarscov2",2025-11-23,2025,48,3
"Estado do Rio de Janeiro","sarscov2",2025-11-30,2025,49,8
"Estado do Rio de Janeiro","sarscov2",2025-12-07,2025,50,5
"Estado do Rio de Janeiro","sarscov2",2025-12-14,2025,51,8
"Estado do Rio de Janeiro","sarscov2",2025-12-21,2025,52,7
"Estado do Rio de Janeiro","sarscov2",2025-12-28,2025,53,21
"Estado do Rio de Janeiro","influenza",2022-01-02,2022,1,111
"Estado do Rio de Janeiro","influenza",2022-01-09,2022,2,26
"Estado do Rio de Janeiro","influenza",2022-01-16,2022,3,12
"Estado do Rio de Janeiro","influenza",2022-01-23,2022,4,5
"Estado do Rio de Janeiro","influenza",2022-01-30,2022,5,1
"Estado do Rio de Janeiro","influenza",2022-02-06,2022,6,5
"Estado do Rio de Janeiro","influenza",2022-02-13,2022,7,5
"Estado do Rio de Janeiro","influenza",2022-02-20,2022,8,3
"Estado do Rio de Janeiro","influenza",2022-02-27,2022,9,3
"Estado do Rio de Janeiro","influenza",2022-03-06,2022,10,3
"Estado do Rio de Janeiro","influenza",2022-03-13,2022,11,1
"Estado do Rio de Janeiro","influenza",2022-03-20,2022,12,6
"Estado do Rio de Janeiro","influenza",2022-03-27,2022,13,9
"Estado do Rio de Janeiro","influenza",2022-04-03,2022,14,6
"Estado do Rio de Janeiro","influenza",2022-04-10,2022,15,4
"Estado do Rio de Janeiro","influenza",2022-04-17,2022,16,2
"Estado do Rio de Janeiro","influenza",2022-04-24,2022,17,0
"Estado do Rio de Janeiro","influenza",2022-05-01,2022,18,2
"Estado do Rio de Janeiro","influenza",2022-05-08,2022,19,3
"Estado do Rio de Janeiro","influenza",2022-05-15,2022,20,4
"Estado do Rio de Janeiro","influenza",2022-05-22,2022,21,5
"Estado do Rio de Janeiro","influenza",2022-05-29,2022,22,6
"Estado do Rio de Janeiro","influenza",2022-06-05,2022,23,0
"Estado do Rio de Janeiro","influenza",2022-06-12,2022,24,2
"Estado do Rio de Janeiro","influenza",2022-06-19,2022,25,3
"Estado do Rio de Janeiro","influenza",2022-06-26,2022,26,4
"Estado do Rio de Janeiro","influenza",2022-07-03,2022,27,2
"Estado do Rio de Janeiro","influenza",2022-07-10,2022,28,6
"Estado do Rio de Janeiro","influenza",2022-07-17,2022,29,3
"Estado do Rio de Janeiro","influenza",2022-07-24,2022,30,1
"Estado do Rio de Janeiro","influenza",2022-07-31,2022,31,2
"Estado do Rio de Janeiro","influenza",2022-08-07,2022,32,9
"Estado do Rio de Janeiro","influenza",2022-08-14,2022,33,3
"Estado do Rio de Janeiro","influenza",2022-08-21,2022,34,1
"Estado do Rio de Janeiro","influenza",2022-08-28,2022,35,3
"Estado do Rio de Janeiro","influenza",2022-09-04,2022,36,3
"Estado do Rio de Janeiro","influenza",2022-09-11,2022,37,2
"Estado do Rio de Janeiro","influenza",2022-09-18,2022,38,5
"Estado do Rio de Janeiro","influenza",2022-09-25,2022,39,5
"Estado do Rio de Janeiro","influenza",2022-10-02,2022,40,4
"Estado do Rio de Janeiro","influenza",2022-10-09,2022,41,8
"Estado do Rio de Janeiro","influenza",2022-10-16,2022,42,15
"Estado do Rio de Janeiro","influenza",2022-10-23,2022,43,18
"Estado do Rio de Janeiro","influenza",2022-10-30,2022,44,21
"Estado do Rio de Janeiro","influenza",2022-11-06,2022,45,10
"Estado do Rio de Janeiro","influenza",2022-11-13,2022,46,13
"Estado do Rio de Janeiro","influenza",2022-11-20,2022,47,6
"Estado do Rio de Janeiro","influenza",2022-11-27,2022,48,2
"Estado do Rio de Janeiro","influenza",2022-12-04,2022,49,4
"Estado do Rio de Janeiro","influenza",2022-12-11,2022,50,2
"Estado do Rio de Janeiro","influenza",2022-12-18,2022,51,4
"Estado do Rio de Janeiro","influenza",2022-12-25,2022,52,1
"Estado do Rio de Janeiro","influenza",2023-01-01,2023,1,2
"Estado do Rio de Janeiro","influenza",2023-01-08,2023,2,4
"Estado do Rio de Janeiro","influenza",2023-01-15,2023,3,4
"Estado do Rio de Janeiro","influenza",2023-01-22,2023,4,5
"Estado do Rio de Janeiro","influenza",2023-01-29,2023,5,0
"Estado do Rio de Janeiro","influenza",2023-02-05,2023,6,3
"Estado do Rio de Janeiro","influenza",2023-02-12,2023,7,2
"Estado do Rio de Janeiro","influenza",2023-02-19,2023,8,10
"Estado do Rio de Janeiro","influenza",2023-02-26,2023,9,6
"Estado do Rio de Janeiro","influenza",2023-03-05,2023,10,10
"Estado do Rio de Janeiro","influenza",2023-03-12,2023,11,17
"Estado do Rio de Janeiro","influenza",2023-03-19,2023,12,12
"Estado do Rio de Janeiro","influenza",2023-03-26,2023,13,15
"Estado do Rio de Janeiro","influenza",2023-04-02,2023,14,14
"Estado do Rio de Janeiro","influenza",2023-04-09,2023,15,14
"Estado do Rio de Janeiro","influenza",2023-04-16,2023,16,27
"Estado do Rio de Janeiro","influenza",2023-04-23,2023,17,47
"Estado do Rio de Janeiro","influenza",2023-04-30,2023,18,69
"Estado do Rio de Janeiro","influenza",2023-05-07,2023,19,57
"Estado do Rio de Janeiro","influenza",2023-05-14,2023,20,50
"Estado do Rio de Janeiro","influenza",2023-05-21,2023,21,42
"Estado do Rio de Janeiro","influenza",2023-05-28,2023,22,45
"Estado do Rio de Janeiro","influenza",2023-06-04,2023,23,27
"Estado do Rio de Janeiro","influenza",2023-06-11,2023,24,20
"Estado do Rio de Janeiro","influenza",2023-06-18,2023,25,13
"Estado do Rio de Janeiro","influenza",2023-06-25,2023,26,13
"Estado do Rio de Janeiro","influenza",2023-07-02,2023,27,21
"Estado do Rio de Janeiro","influenza",2023-07-09,2023,28,17
"Estado do Rio de Janeiro","influenza",2023-07-16,2023,29,10
"Estado do Rio de Janeiro","influenza",2023-07-23,2023,30,13
"Estado do Rio de Janeiro","influenza",2023-07-30,2023,31,7
"Estado do Rio de Janeiro","influenza",2023-08-06,2023,32,4
"Estado do Rio de Janeiro","influenza",2023-08-13,2023,33,5
"Estado do Rio de Janeiro","influenza",2023-08-20,2023,34,8
"Estado do Rio de Janeiro","influenza",2023-08-27,2023,35,2
"Estado do Rio de Janeiro","influenza",2023-09-03,2023,36,1
"Estado do Rio de Janeiro","influenza",2023-09-10,2023,37,5
"Estado do Rio de Janeiro","influenza",2023-09-17,2023,38,5
"Estado do Rio de Janeiro","influenza",2023-09-24,2023,39,2
"Estado do Rio de Janeiro","influenza",2023-10-01,2023,40,3
"Estado do Rio de Janeiro","influenza",2023-10-08,2023,41,3
"Estado do Rio de Janeiro","influenza",2023-10-15,2023,42,1
"Estado do Rio de Janeiro","influenza",2023-10-22,2023,43,4
"Estado do Rio de Janeiro","influenza",2023-10-29,2023,44,2
"Estado do Rio de Janeiro","influenza",2023-11-05,2023,45,2
"Estado do Rio de Janeiro","influenza",2023-11-12,2023,46,3
"Estado do Rio de Janeiro","influenza",2023-11-19,2023,47,3
"Estado do Rio de Janeiro","influenza",2023-11-26,2023,48,3
"Estado do Rio de Janeiro","influenza",2023-12-03,2023,49,2
"Estado do Rio de Janeiro","influenza",2023-12-10,2023,50,6
"Estado do Rio de Janeiro","influenza",2023-12-17,2023,51,9
"Estado do Rio de Janeiro","influenza",2023-12-24,2023,52,2
"Estado do Rio de Janeiro","influenza",2023-12-31,2024,1,5
"Estado do Rio de Janeiro","influenza",2024-01-07,2024,2,4
"Estado do Rio de Janeiro","influenza",2024-01-14,2024,3,11
"Estado do Rio de Janeiro","influenza",2024-01-21,2024,4,15
"Estado do Rio de Janeiro","influenza",2024-01-28,2024,5,28
"Estado do Rio de Janeiro","influenza",2024-02-04,2024,6,28
"Estado do Rio de Janeiro","influenza",2024-02-11,2024,7,30
"Estado do Rio de Janeiro","influenza",2024-02-18,2024,8,40
"Estado do Rio de Janeiro","influenza",2024-02-25,2024,9,54
"Estado do Rio de Janeiro","influenza",2024-03-03,2024,10,71
"Estado do Rio de Janeiro","influenza",2024-03-10,2024,11,53
"Estado do Rio de Janeiro","influenza",2024-03-17,2024,12,70
"Estado do Rio de Janeiro","influenza",2024-03-24,2024,13,35
"Estado do Rio de Janeiro","influenza",2024-03-31,2024,14,64
"Estado do Rio de Janeiro","influenza",2024-04-07,2024,15,62
"Estado do Rio de Janeiro","influenza",2024-04-14,2024,16,62
"Estado do Rio de Janeiro","influenza",2024-04-21,2024,17,72
"Estado do Rio de Janeiro","influenza",2024-04-28,2024,18,51
"Estado do Rio de Janeiro","influenza",2024-05-05,2024,19,35
"Estado do Rio de Janeiro","influenza",2024-05-12,2024,20,49
"Estado do Rio de Janeiro","influenza",2024-05-19,2024,21,39
"Estado do Rio de Janeiro","influenza",2024-05-26,2024,22,32
"Estado do Rio de Janeiro","influenza",2024-06-02,2024,23,32
"Estado do Rio de Janeiro","influenza",2024-06-09,2024,24,36
"Estado do Rio de Janeiro","influenza",2024-06-16,2024,25,27
"Estado do Rio de Janeiro","influenza",2024-06-23,2024,26,24
"Estado do Rio de Janeiro","influenza",2024-06-30,2024,27,36
"Estado do Rio de Janeiro","influenza",2024-07-07,2024,28,29
"Estado do Rio de Janeiro","influenza",2024-07-14,2024,29,25
"Estado do Rio de Janeiro","influenza",2024-07-21,2024,30,13
"Estado do Rio de Janeiro","influenza",2024-07-28,2024,31,20
"Estado do Rio de Janeiro","influenza",2024-08-04,2024,32,16
"Estado do Rio de Janeiro","influenza",2024-08-11,2024,33,20
"Estado do Rio de Janeiro","influenza",2024-08-18,2024,34,22
"Estado do Rio de Janeiro","influenza",2024-08-25,2024,35,22
"Estado do Rio de Janeiro","influenza",2024-09-01,2024,36,31
"Estado do Rio de Janeiro","influenza",2024-09-08,2024,37,25
"Estado do Rio de Janeiro","influenza",2024-09-15,2024,38,32
"Estado do Rio de Janeiro","influenza",2024-09-22,2024,39,27
"Estado do Rio de Janeiro","influenza",2024-09-29,2024,40,25
"Estado do Rio de Janeiro","influenza",2024-10-06,2024,41,31
"Estado do Rio de Janeiro","influenza",2024-10-13,2024,42,34
"Estado do Rio de Janeiro","influenza",2024-10-20,2024,43,40
"Estado do Rio de Janeiro","influenza",2024-10-27,2024,44,34
"Estado do Rio de Janeiro","influenza",2024-11-03,2024,45,32
"Estado do Rio de Janeiro","influenza",2024-11-10,2024,46,28
"Estado do Rio de Janeiro","influenza",2024-11-17,2024,47,30
"Estado do Rio de Janeiro","influenza",2024-11-24,2024,48,36
"Estado do Rio de Janeiro","influenza",2024-12-01,2024,49,24
"Estado do Rio de Janeiro","influenza",2024-12-08,2024,50,30
"Estado do Rio de Janeiro","influenza",2024-12-15,2024,51,19
"Estado do Rio de Janeiro","influenza",2024-12-22,2024,52,17
"Estado do Rio de Janeiro","influenza",2024-12-29,2025,1,24
"Estado do Rio de Janeiro","influenza",2025-01-05,2025,2,18
"Estado do Rio de Janeiro","influenza",2025-01-12,2025,3,11
"Estado do Rio de Janeiro","influenza",2025-01-19,2025,4,13
"Estado do Rio de Janeiro","influenza",2025-01-26,2025,5,15
"Estado do Rio de Janeiro","influenza",2025-02-02,2025,6,5
"Estado do Rio de Janeiro","influenza",2025-02-09,2025,7,9
"Estado do Rio de Janeiro","influenza",2025-02-16,2025,8,7
"Estado do Rio de Janeiro","influenza",2025-02-23,2025,9,5
"Estado do Rio de Janeiro","influenza",2025-03-02,2025,10,4
"Estado do Rio de Janeiro","influenza",2025-03-09,2025,11,14
"Estado do Rio de Janeiro","influenza",2025-03-16,2025,12,13
"Estado do Rio de Janeiro","influenza",2025-03-23,2025,13,24
"Estado do Rio de Janeiro","influenza",2025-03-30,2025,14,28
"Estado do Rio de Janeiro","influenza",2025-04-06,2025,15,31
"Estado do Rio de Janeiro","influenza",2025-04-13,2025,16,67
"Estado do Rio de Janeiro","influenza",2025-04-20,2025,17,95
"Estado do Rio de Janeiro","influenza",2025-04-27,2025,18,136
"Estado do Rio de Janeiro","influenza",2025-05-04,2025,19,177
"Estado do Rio de Janeiro","influenza",2025-05-11,2025,20,248
"Estado do Rio de Janeiro","influenza",2025-05-18,2025,21,293
"Estado do Rio de Janeiro","influenza",2025-05-25,2025,22,225
"Estado do Rio de Janeiro","influenza",2025-06-01,2025,23,202
"Estado do Rio de Janeiro","influenza",2025-06-08,2025,24,122
"Estado do Rio de Janeiro","influenza",2025-06-15,2025,25,83
"Estado do Rio de Janeiro","influenza",2025-06-22,2025,26,50
"Estado do Rio de Janeiro","influenza",2025-06-29,2025,27,49
"Estado do Rio de Janeiro","influenza",2025-07-06,2025,28,42
"Estado do Rio de Janeiro","influenza",2025-07-13,2025,29,31
"Estado do Rio de Janeiro","influenza",2025-07-20,2025,30,16
"Estado do Rio de Janeiro","influenza",2025-07-27,2025,31,12
"Estado do Rio de Janeiro","influenza",2025-08-03,2025,32,11
"Estado do Rio de Janeiro","influenza",2025-08-10,2025,33,13
"Estado do Rio de Janeiro","influenza",2025-08-17,2025,34,18
"Estado do Rio de Janeiro","influenza",2025-08-24,2025,35,25
"Estado do Rio de Janeiro","influenza",2025-08-31,2025,36,26
"Estado do Rio de Janeiro","influenza",2025-09-07,2025,37,16
"Estado do Rio de Janeiro","influenza",2025-09-14,2025,38,32
"Estado do Rio de Janeiro","influenza",2025-09-21,2025,39,37
"Estado do Rio de Janeiro","influenza",2025-09-28,2025,40,50
"Estado do Rio de Janeiro","influenza",2025-10-05,2025,41,33
"Estado do Rio de Janeiro","influenza",2025-10-12,2025,42,49
"Estado do Rio de Janeiro","influenza",2025-10-19,2025,43,51
"Estado do Rio de Janeiro","influenza",2025-10-26,2025,44,51
"Estado do Rio de Janeiro","influenza",2025-11-02,2025,45,39
